ProductInfo_title__tomzd,ProductInfo_bank-name__UNj3m,ProductInfo_top-rate__JKyeA,ProductInfo_number__KjJso,ProductInfo_rate__ruWXq,TagList_tag__xQBbK,TagList_tag__xQBbK (2),TagList_tag__xQBbK (3),blind
Sh첫만남우대예금,SH수협은행,최고 2.90%,2.9,기본 1.85%,방문없이가입,누구나가입,,
우리 첫거래우대 정기예금,우리은행,최고 2.80%,2.8,기본 1.80%,방문없이가입,누구나가입,특판,
J 정기예금,제주은행,최고 2.75%,2.75,기본 2.00%,방문없이가입,누구나가입,특판,네이버 페이
e-그린세이브예금,SC제일은행,최고 2.75%,2.75,기본 2.45%,방문없이가입,누구나가입,,
Sh해양플라스틱Zero!예금,SH수협은행,최고 2.75%,2.75,기본 2.40%,방문없이가입,누구나가입,,
더쿠폰예금,iM뱅크,최고 2.70%,2.7,기본 2.20%,방문없이가입,누구나가입,특판,
헤이(Hey)정기예금,SH수협은행,최고 2.70%,2.7,기본 2.70%,방문없이가입,누구나가입,,
(JB SUMM3R) 특판 예금,전북은행,최고 2.65%,2.65,기본 2.35%,방문없이가입,누구나가입,특판,
KIA타이거즈 우승기원 예금,광주은행,최고 2.65%,2.65,기본 2.40%,방문없이가입,누구나가입,특판,
IBK평생한가족통장(중금채),IBK기업은행,최고 2.65%,2.65,기본 2.45%,방문없이가입,누구나가입,,
내맘 쏙 정기예금,전북은행,최고 2.65%,2.65,기본 2.35%,방문없이가입,누구나가입,,네이버 페이
The파트너예금,경남은행,최고 2.65%,2.65,기본 2.25%,방문없이가입,누구나가입,,
iM주거래우대예금(첫만남고객형),iM뱅크,최고 2.64%,2.64,기본 1.99%,방문없이가입,누구나가입,,
BNK내맘대로 예금,부산은행,최고 2.60%,2.6,기본 2.30%,방문없이가입,누구나가입,특판,
우리 광복80주년 정기예금,우리은행,최고 2.60%,2.6,기본 2.60%,누구나가입,,특판,
The든든예금시즌2,경남은행,최고 2.60%,2.6,기본 2.00%,방문없이가입,누구나가입,특판,
더(The) 특판 정기예금,부산은행,최고 2.60%,2.6,기본 1.90%,방문없이가입,누구나가입,특판,네이버 페이
NH고향사랑기부예금,NH농협은행,최고 2.60%,2.6,기본 2.15%,방문없이가입,누구나가입,,
JB 골든 에이지 예금,전북은행,최고 2.60%,2.6,기본 2.00%,방문없이가입,누구나가입,,
JB 주거래 예금,전북은행,최고 2.60%,2.6,기본 2.00%,방문없이가입,누구나가입,,
iM함께예금,iM뱅크,최고 2.58%,2.58,기본 2.13%,방문없이가입,누구나가입,,네이버 페이
더(The) 레벨업 정기예금,부산은행,최고 2.55%,2.55,기본 2.35%,방문없이가입,누구나가입,특판,
스마일드림정기예금,제주은행,최고 2.55%,2.55,기본 1.90%,방문없이가입,누구나가입,특판,
굿스타트예금,광주은행,최고 2.55%,2.55,기본 2.05%,방문없이가입,누구나가입,특판,네이버 페이
JB다이렉트예금,전북은행,최고 2.55%,2.55,기본 2.55%,방문없이가입,누구나가입,,네이버 페이
NH내가Green초록세상예금,NH농협은행,최고 2.55%,2.55,기본 2.15%,방문없이가입,누구나가입,,
BNK더조은정기예금,경남은행,최고 2.55%,2.55,기본 2.05%,방문없이가입,누구나가입,,
KJB주거래우대예금,광주은행,최고 2.55%,2.55,기본 2.05%,방문없이가입,누구나가입,,
iM주거래우대예금(단골고객형),iM뱅크,최고 2.54%,2.54,기본 2.09%,방문없이가입,누구나가입,,
직장인우대예금,iM뱅크,최고 2.54%,2.54,기본 1.99%,방문없이가입,누구나가입,,
IBK굴리기통장(단기중금채),IBK기업은행,최고 2.53%,2.53,기본 2.53%,방문없이가입,누구나가입,,
JB 1·2·3 정기예금,전북은행,최고 2.50%,2.5,기본 2.50%,방문없이가입,누구나가입,,네이버 페이
KDB 정기예금,KDB산업은행,최고 2.50%,2.5,기본 2.50%,방문없이가입,누구나가입,,
NH올원e예금,NH농협은행,최고 2.50%,2.5,기본 2.50%,방문없이가입,누구나가입,,
카카오뱅크 정기예금,카카오뱅크,최고 2.50%,2.5,기본 2.50%,방문없이가입,누구나가입,,
코드K 정기예금,케이뱅크,최고 2.50%,2.5,기본 2.50%,방문없이가입,누구나가입,,
NH왈츠회전예금II,NH농협은행,최고 2.50%,2.5,기본 2.40%,방문없이가입,누구나가입,,
신한 My플러스 정기예금,신한은행,최고 2.50%,2.5,기본 2.05%,방문없이가입,누구나가입,,
IBK더굴리기통장(중금채),IBK기업은행,최고 2.49%,2.49,기본 2.49%,방문없이가입,누구나가입,,
이자먼저Wa예금,광주은행,최고 2.48%,2.48,기본 2.38%,방문없이가입,누구나가입,특판,
iM스마트예금,iM뱅크,최고 2.48%,2.48,기본 2.23%,방문없이가입,누구나가입,,
행운박스예금,광주은행,최고 2.47%,2.47,기본 2.47%,방문없이가입,누구나가입,,네이버 페이
친환경녹색예금,iM뱅크,최고 2.46%,2.46,기본 2.21%,누구나가입,,,
온가족 피싱 안심예금,광주은행,최고 2.45%,2.45,기본 1.80%,방문없이가입,누구나가입,특판,
The플러스예금,광주은행,최고 2.45%,2.45,기본 2.45%,방문없이가입,누구나가입,,
