구 분,은 행 명,기보_건수,기보_금액 (억원),온렌딩_건수,온렌딩_금액 (억원),은행 자율_건수,은행 자율_금액 (억원),합계_건수,합계_금액 (억원)
특수은행,기업,4267,12756,822,8643,10161,68499,15250,89898
특수은행,산업,158,1130,11,201,383,5848,552,7179
특수은행,수출입,0,0,0,0,53,993,53,993
특수은행,농협,486,1264,159,1292,1892,11735,2537,14292
특수은행,수협,3,6,31,505,56,890,90,1400
시중은행,국민,2365,6991,198,4272,8850,53258,11413,64521
시중은행,신한,1462,4403,234,7627,7951,58788,9647,70817
시중은행,외환,416,1440,216,3891,2174,22079,2806,27410
시중은행,우리,1691,4315,831,12631,6951,43661,9473,60607
시중은행,하나,841,2103,441,7330,4263,30771,5545,40204
시중은행,씨티,138,273.34,0,0,182,2200.26,320,2474
시중은행,SC,53,87,1,8,243,3254,297,3348
지방은행,경남,212,772,8,165,699,5484,919,6421
지방은행,광주,147,339,8,35,369,2014,524,2387
지방은행,대구,266,1036,0,0,1511,10445,1777,11481
지방은행,부산,345,1534,35,304,1424,12351,1804,14190
지방은행,전북,65,123,1,6,87,133,153,262
지방은행,제주,13,47,1,1,29,161,43,209
